,FFNN,ARIMA,LSTM,length,kurtosis,energy,variance
Serie 1,-1,0.005916876659342379,-1,144,-0.27383695251524287,40.015288192378065,0.020279379091024934
Serie 2,-1,0.024115431333966982,-1,144,-0.9852479099314171,42.355077237497014,0.0404593675896697
Serie 3,-1,0.016216662901596995,-1,144,0.3762183768636218,19.680198141882656,0.05009624557125977
Serie 4,-1,0.00783982639964271,-1,133,-0.5095877491201768,43.374306150830016,0.03500165327032379
Serie 5,-1,0.004509145870319145,-1,144,-0.13078435221915186,44.93553135789159,0.02634538807421933
Serie 6,-1,0.006484107681273397,-1,144,0.020075870400868112,35.75418685121108,0.023340120846208248
Serie 7,-1,0.010119856079815097,-1,144,-0.24797197819489636,35.527638150770514,0.029798231061131948
Serie 8,-1,0.014567531754217683,-1,134,5.103097177500301,16.17452226109576,0.01302598935430734
Serie 9,-1,0.0019711968877944527,-1,141,1.4788515518401186,19.94270741959334,0.0319149067413702
Serie 10,-1,0.002559393195839836,-1,144,30.41702538633623,8.565773117653602,0.007399347385879326
Serie 11,-1,0.01771011844887601,-1,144,0.34004093527431634,22.603000247452957,0.027834926237708755
Serie 12,-1,,-1,144,-1.516138507503018,47.5136137372335,0.08029427031605246
